review_text,rating,user_id,product_id,title
"This product is absolutely amazing! Great quality and fast shipping.",5,user_001,prod_001,"Excellent Product"
"Terrible quality, broke after one day. Very disappointed.",1,user_002,prod_002,"Poor Quality"
"Good value for money. Works as expected.",4,user_003,prod_001,"Good Value"
"Outstanding customer service and product quality exceeded expectations.",5,user_004,prod_003,"Outstanding!"
"Average product, nothing special but does the job.",3,user_005,prod_002,"Average"
"Love this product! Highly recommend to everyone.",5,user_006,prod_003,"Highly Recommended"
"Not worth the price. There are better alternatives available.",2,user_007,prod_001,"Overpriced"
"Perfect! Exactly what I was looking for.",5,user_008,prod_002,"Perfect Match"
"Decent quality but shipping was slow.",3,user_009,prod_003,"Decent but Slow"
"Fantastic product with great features and design.",5,user_010,prod_001,"Fantastic Design"
"Poor customer support and product arrived damaged.",1,user_011,prod_002,"Damaged on Arrival"
"Good product overall, satisfied with the purchase.",4,user_012,prod_003,"Satisfied"
"Incredible value and quality. Will buy again!",5,user_013,prod_001,"Will Buy Again"
"Mediocre product, expected better for the price.",2,user_014,prod_002,"Expected Better"
"Excellent build quality and fast delivery.",4,user_015,prod_003,"Excellent Build"
