product_id,name,category,subcategory,brand,price,description,weight_kg,dimensions,color,material,manufacturer,model_number,release_date,is_active,stock_quantity,created_at,updated_at
PROD_000001,Wright Biography Basic,Books,Non-Fiction,Mcmillan-Martinez,638.13,"Source better successful religious expert less heavy. Exist quite condition perform.
Difference get most building actually information similar newspaper. Take fire institution service. Can either difference member these back.
Stay popular myself option that. Certainly worker system short garden.
Indicate push chance outside like protect reach north. Share building tax anything.",6.17,34x43x23,MediumSlateBlue,Plastic,Pham-Cochran,MODEL_1939,2025-09-28,False,882,2025-10-06 23:50:01.628719,2025-10-06 23:50:01.628720
PROD_000002,Glenn Novel Standard,Books,Reference,Harris LLC,362.62,"Reveal analysis between rock describe nearly. Suggest Mr project note be agreement themselves. Carry consumer future authority.
Poor four range wide office. Feeling billion beat prevent. More cover various newspaper debate. Fire foot operation nation.
Easy bed interesting learn million once. Main statement season chance. Exactly career TV billion high top.
Contain fund end have. Dark help professor even.
Certain cover far learn. Expert buy practice.",3.6,14x17x10,DarkGoldenRod,Plastic,Rodriguez Inc,MODEL_7246,2024-09-04,True,196,2025-10-06 23:50:01.628927,2025-10-06 23:50:01.628927
PROD_000003,"Wong, T-Shirt Premium",Clothing,Women,"Ho, Oconnor and Henry",793.6,"Too true marriage spend laugh room spring. His along pattern win recent.
Election goal behavior product ready Democrat. Million goal statement trial not. Teacher necessary blood together everything each.
Product vote court air partner middle director.
Scientist forget form behavior white listen. History outside south natural impact local.
Never race listen language success. Knowledge suggest computer ever.
Include wind stay foreign almost. Be newspaper dog thus money school draw.",6.39,47x14x16,CornflowerBlue,Metal,"Miller, Garcia and Davis",MODEL_6760,2023-10-31,True,337,2025-10-06 23:50:01.629278,2025-10-06 23:50:01.629278
PROD_000004,Harvey-Diaz Novel Elite,Books,Children,"Pham, Medina and Jones",212.2,"Possible discussion face quickly yourself yourself. Truth song attention list. Fly style there relationship.
Follow through explain street. Big step water agree safe speak.
See physical animal plant speech truth. Paper economic exist toward participant travel.
Design pay might usually nice ready. Interesting wrong certainly case likely ago miss guy. Plant perhaps for staff always whose choose.
Year fly interview rest age. Different pretty face act personal front role. Serve in visit.",0.18,16x11x23,LawnGreen,Glass,"Sharp, Parker and Harris",MODEL_3837,2025-01-15,True,482,2025-10-06 23:50:01.629603,2025-10-06 23:50:01.629603
PROD_000005,"Wilkerson, Camera Standard",Electronics,Photography,Ruiz Ltd,25.41,"Old organization know attorney and family last. Democrat understand some sure beyond any.
Make environmental eye scientist natural. Kitchen alone stay along method message.
Treat director ground president turn. Relate painting high itself. Remain quality issue loss special should day.
Run accept space pretty what. Month lose economy system.
Relationship receive inside sort table. Up peace night.",4.0,47x35x26,LightGray,Glass,Sutton-Graham,MODEL_9242,2024-09-18,True,940,2025-10-06 23:50:01.629862,2025-10-06 23:50:01.629862
PROD_000006,Bell-Wallace TV Max,Electronics,Mobile Phones,Mercado PLC,167.81,"Than think word.
Magazine star agree scene remain medical. Practice finally serious magazine how condition.
Actually today during field adult. Though finish board century.
Member meeting second blood girl other those. Knowledge ever money site. Police quickly focus peace ability Republican local.
Student fund step local three plant include. Benefit establish value law. Just grow open develop.
Right rate organization environment tough. Claim his down science.",1.29,23x26x27,MediumSlateBlue,Plastic,Stevenson-Glass,MODEL_6542,2024-02-22,False,325,2025-10-06 23:50:01.630098,2025-10-06 23:50:01.630098
PROD_000007,Smith Dress Pro,Clothing,Accessories,"Schroeder, Bennett and Elliott",814.72,"Realize performance natural low money support produce. Million my teacher tonight sell maybe might life.
New agree kid the entire heart. Exactly campaign modern discover opportunity religious word fire.
Church candidate heart. Follow almost military. Special past money.
List up similar firm much on fine.
Popular seven various government baby. He receive risk political. She Mr special beautiful.
Bag action commercial road audience fall home. Cold civil type join position social watch range.",4.05,44x50x12,Blue,Fabric,Williams Group,MODEL_2993,2025-03-01,True,951,2025-10-06 23:50:01.630338,2025-10-06 23:50:01.630338
PROD_000008,Bell Jeans Elite,Clothing,Accessories,"Barton, Horton and Mooney",946.1,"Avoid alone news. Space a now none call own gun.
Person heart quickly score theory. Daughter miss stop. Marriage smile color trade language represent majority yes.
Tree certainly whether production. Protect someone exist explain guess. The data call.
Clear five level physical door against other. Detail section six close environment. Design employee growth claim thus off.
Remember reflect tough Mrs analysis toward school. Worry war per conference if.",8.77,16x49x15,LightGray,Plastic,"Marshall, Jones and Lucas",MODEL_6679,2022-11-17,True,780,2025-10-06 23:50:01.630631,2025-10-06 23:50:01.630632
PROD_000009,Cox-Roberts Jeans Elite,Clothing,Kids,"Thomas, Cantrell and Fry",653.35,"Director fine authority. Kind data very test. Wait beautiful believe into. Ability into vote true explain network identify.
Low color scene late hour size page crime. Just age interest put up.
Majority Republican final treat particularly remember decade. Benefit religious job above edge scene above.
Partner senior way court city other allow. Discover offer type week.
Where seek theory fast professional reduce. Oil operation old. Agency official prepare strategy world.",5.49,17x39x27,MediumOrchid,Metal,Chambers-Bridges,MODEL_6388,2023-06-07,True,247,2025-10-06 23:50:01.630923,2025-10-06 23:50:01.630923
PROD_000010,"Richardson, Hat Elite",Clothing,Women,Stephens Ltd,102.51,"Carry character then movie behavior here ago. Total team section friend pressure own five address. Since it radio vote receive believe.
Forget audience so room well. Order boy business discussion student. Former international age later past almost election.
Ten fall offer which medical fire threat join. Fly inside tell the enjoy may it.
Behind raise could decision information few expert. Cup measure wife protect. Detail suddenly practice summer. Pressure a generation so.",8.71,45x22x10,Turquoise,Fabric,"Fisher, Ingram and Bradford",MODEL_9640,2025-03-16,False,737,2025-10-06 23:50:01.631212,2025-10-06 23:50:01.631212
