review_id,user_id,product_id,rating,title,review_text,helpful_votes,total_votes,verified_purchase,review_date,language,sentiment_score,word_count,contains_images,contains_video,is_spam,created_at,updated_at
REV_00000001,USER_000409,PROD_000231,5,Highly recommended,"This electronics product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again! Good customer service.",87,38,False,2025-08-21,en,0.9601218636446622,22,True,True,False,2025-10-06 23:50:01.803408,2025-10-06 23:50:01.803409
REV_00000002,USER_000384,PROD_000044,4,Perfect!,"This clothing product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again!",53,10,True,2025-09-16,en,0.7851774970821196,19,True,True,False,2025-10-06 23:50:01.803689,2025-10-06 23:50:01.803689
REV_00000003,USER_000706,PROD_000387,3,Decent but not great,This books product is okay. It works but nothing special. Average quality for the price. Good customer service.,78,105,True,2025-06-19,en,0.4029406590783912,18,False,False,True,2025-10-06 23:50:01.803966,2025-10-06 23:50:01.803966
REV_00000004,USER_000198,PROD_000379,4,Highly recommended,"Great electronics item! Fast shipping, good packaging, and the product exceeded my expectations. Very satisfied with this purchase. Recommended by a friend.",43,137,False,2025-06-01,en,0.6868178463983335,22,False,False,False,2025-10-06 23:50:01.804228,2025-10-06 23:50:01.804228
REV_00000005,USER_000171,PROD_000381,1,Don't buy this,Very disappointed with this clothing product. Poor quality and doesn't work as advertised. Would not recommend. Would buy again.,62,66,True,2025-05-21,en,0.0,19,False,False,False,2025-10-06 23:50:01.804466,2025-10-06 23:50:01.804466
REV_00000006,USER_000463,PROD_000140,5,Best purchase ever,I'm really happy with this books product. The quality is excellent and it works exactly as described. Would definitely recommend to others.,13,73,True,2025-05-17,en,0.9724558617082268,22,True,False,False,2025-10-06 23:50:01.804706,2025-10-06 23:50:01.804706
REV_00000007,USER_000563,PROD_000324,5,Best purchase ever,I'm really happy with this books product. The quality is excellent and it works exactly as described. Would definitely recommend to others. Exactly as pictured.,34,74,True,2024-11-04,en,1.0,25,False,False,False,2025-10-06 23:50:01.804951,2025-10-06 23:50:01.804951
REV_00000008,USER_000803,PROD_000029,4,Best purchase ever,"This electronics product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again! Would buy again.",21,133,False,2025-07-05,en,0.7345517799720861,22,False,False,False,2025-10-06 23:50:01.805207,2025-10-06 23:50:01.805207
REV_00000009,USER_000615,PROD_000415,4,Amazing quality,"Great electronics item! Fast shipping, good packaging, and the product exceeded my expectations. Very satisfied with this purchase.",17,125,True,2024-12-15,en,0.7001955148931044,18,False,True,False,2025-10-06 23:50:01.805461,2025-10-06 23:50:01.805461
REV_00000010,USER_000227,PROD_000104,1,Disappointed,"This books product is awful. Cheap materials, poor construction, and doesn't match the description at all.",41,98,True,2025-04-13,en,0.07761948960688597,16,False,False,False,2025-10-06 23:50:01.805711,2025-10-06 23:50:01.805711
REV_00000011,USER_000636,PROD_000491,3,It's okay,Decent electronics product but not amazing. Does what it's supposed to do but room for improvement.,4,131,True,2025-08-29,en,0.5519546883117974,16,True,False,False,2025-10-06 23:50:01.805963,2025-10-06 23:50:01.805963
REV_00000012,USER_000693,PROD_000158,4,Great value for money,I'm really happy with this books product. The quality is excellent and it works exactly as described. Would definitely recommend to others. Would buy again.,25,92,False,2025-02-15,en,0.655875637970968,25,True,False,False,2025-10-06 23:50:01.806222,2025-10-06 23:50:01.806222
REV_00000013,USER_000013,PROD_000281,2,Regret buying,"This electronics product is awful. Cheap materials, poor construction, and doesn't match the description at all. Shipping was fast.",36,58,False,2025-09-14,en,0.1958763530081401,19,True,True,False,2025-10-06 23:50:01.806464,2025-10-06 23:50:01.806465
REV_00000014,USER_000405,PROD_000327,3,It's okay,Decent electronics product but not amazing. Does what it's supposed to do but room for improvement. Recommended by a friend.,84,143,False,2025-06-08,en,0.5790483011296135,20,True,False,False,2025-10-06 23:50:01.806713,2025-10-06 23:50:01.806713
REV_00000015,USER_000762,PROD_000250,5,Best purchase ever,"This books product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again! Easy to use.",89,140,True,2025-07-05,en,1.0,22,False,False,True,2025-10-06 23:50:01.806958,2025-10-06 23:50:01.806958
REV_00000016,USER_000632,PROD_000101,4,Love it!,"This clothing product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again! Shipping was fast.",48,141,True,2024-12-10,en,0.6831519125425822,22,False,False,False,2025-10-06 23:50:01.807211,2025-10-06 23:50:01.807211
REV_00000017,USER_000975,PROD_000178,4,Love it!,"This books product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again! Exactly as pictured.",31,8,False,2025-04-04,en,0.687079594662819,22,False,False,True,2025-10-06 23:50:01.807594,2025-10-06 23:50:01.807594
REV_00000018,USER_000353,PROD_000488,1,Waste of money,"This clothing product is awful. Cheap materials, poor construction, and doesn't match the description at all.",43,103,True,2025-05-05,en,0.0,16,True,False,True,2025-10-06 23:50:01.807917,2025-10-06 23:50:01.807917
REV_00000019,USER_000283,PROD_000037,3,Fair quality,Decent books product but not amazing. Does what it's supposed to do but room for improvement. Easy to use.,51,136,True,2024-11-17,en,0.46749528334103135,19,False,False,False,2025-10-06 23:50:01.808177,2025-10-06 23:50:01.808177
REV_00000020,USER_000566,PROD_000306,3,Fair quality,This clothing product is okay. It works but nothing special. Average quality for the price. Good customer service.,82,9,True,2025-05-12,en,0.41965824130982965,18,False,False,False,2025-10-06 23:50:01.808426,2025-10-06 23:50:01.808427
